Timestamp,Latitude,Longitude,Technology,Cell_ID,PCI,EARFCN,RSRP_dBm,SINR_dB,Throughput_DL_Mbps,Throughput_UL_Mbps,Event_Log
2026-06-06 08:30:00,10.76264483570765,106.66008026029934,LTE,202,608,38950,-83.94,11.47,46.68,15.56,NORMAL
2026-06-06 08:30:02,10.762657922492593,106.66007664943693,LTE,103,309,39250,-97.38,8.43,28.59,7.47,NORMAL
2026-06-06 08:30:04,10.762710306919498,106.66015148705324,5G-NR,301,903,38950,-83.04,10.11,45.35,11.97,NORMAL
2026-06-06 08:30:06,10.762806458412319,106.66021810926917,5G-NR,103,309,39250,-79.15,15.11,58.06,17.41,NORMAL
2026-06-06 08:30:08,10.762814750743582,106.66024685517353,LTE,103,309,6300,-86.69,10.76,43.04,12.57,NORMAL
2026-06-06 08:30:10,10.762823043895734,106.66028389481653,LTE,202,606,38950,-74.99,10.19,51.49,14.54,NORMAL
2026-06-06 08:30:12,10.76292200453651,106.66039055471028,LTE,301,903,38950,-96.19,4.56,22.38,8.11,NORMAL
2026-06-06 08:30:14,10.762980376272967,106.66038506042695,5G-NR,202,608,38950,-99.96,12.99,32.2,11.57,NORMAL
2026-06-06 08:30:16,10.762976902553671,106.66044788626981,5G-NR,101,305,6300,-104.23,12.58,24.48,7.52,NORMAL
2026-06-06 08:30:18,10.76302403055585,106.66046575471067,5G-NR,201,604,39250,-78.03,18.65,70.3,24.05,NORMAL
2026-06-06 08:30:20,10.76302085967121,106.66048269383847,5G-NR,103,311,6300,-84.77,8.77,35.12,8.25,RSRP_DROP
2026-06-06 08:30:22,10.76301757318353,106.6605786204496,5G-NR,201,605,38950,-90.44,10.88,36.49,10.56,NORMAL
2026-06-06 08:30:24,10.763049671297109,106.66065814543053,5G-NR,202,606,39250,-87.76,11.0,38.7,10.18,NORMAL
2026-06-06 08:30:26,10.762974007284877,106.66073695600869,5G-NR,202,606,6300,-99.0,16.31,45.74,9.99,NORMAL
2026-06-06 08:30:28,10.762907761393251,106.66084528473712,LTE,202,608,38950,-70.43,9.62,52.61,15.62,NORMAL
2026-06-06 08:30:30,10.76289964701679,106.66087654496762,LTE,201,604,38950,-88.97,11.12,47.74,14.08,NORMAL
2026-06-06 08:30:32,10.762869005460772,106.6609474621459,LTE,202,606,6300,-89.12,12.43,39.98,15.02,NORMAL
2026-06-06 08:30:34,10.762904717827402,106.6609588461405,LTE,101,305,6300,-84.19,10.75,46.16,15.11,NORMAL
2026-06-06 08:30:36,10.762879316623625,106.66100829612165,5G-NR,202,608,6300,-86.15,8.21,35.22,8.52,HANDOVER
2026-06-06 08:30:38,10.76282870143856,106.66103048753838,5G-NR,102,307,38950,-88.21,10.78,52.32,19.41,NORMAL
2026-06-06 08:30:40,10.762921983877005,106.6610663072963,LTE,201,604,6300,-96.32,14.29,34.44,12.78,NORMAL
2026-06-06 08:30:42,10.76293069506198,106.66113201671781,5G-NR,102,306,38950,-86.23,5.89,37.41,12.39,NORMAL
2026-06-06 08:30:44,10.762954071472215,106.66111292347682,5G-NR,202,607,6300,-74.94,10.53,55.01,16.05,NORMAL
2026-06-06 08:30:46,10.762902834062904,106.66126846671337,LTE,101,305,38950,-79.24,7.2,45.48,11.72,NORMAL
2026-06-06 08:30:48,10.762895614926679,106.66123810567048,LTE,103,311,38950,-77.25,14.78,55.44,15.89,NORMAL
2026-06-06 08:30:50,10.762921161056164,106.6611952543537,5G-NR,301,904,39250,-94.09,3.91,25.94,9.96,NORMAL
2026-06-06 08:30:52,10.762883611377292,106.66129474100612,5G-NR,301,904,6300,-97.92,7.76,29.53,12.63,NORMAL
2026-06-06 08:30:54,10.76292239627821,106.66137224076775,LTE,202,607,6300,-91.01,11.51,39.72,15.0,NORMAL
2026-06-06 08:30:56,10.762912364343714,106.66143968795677,LTE,101,304,38950,-89.55,16.26,53.57,15.09,NORMAL
2026-06-06 08:30:58,10.762917779656224,106.66150738868733,5G-NR,201,603,38950,-81.25,9.74,56.66,14.76,NORMAL
2026-06-06 08:31:00,10.762907694325612,106.66153665388096,LTE,102,307,38950,-103.54,7.78,22.05,6.9,NORMAL
2026-06-06 08:31:02,10.763020308234838,106.66151281861868,5G-NR,102,306,39250,-77.76,17.52,53.23,12.43,HIGH_INTERFERENCE
2026-06-06 08:31:04,10.763039633373602,106.66154736689217,5G-NR,102,308,39250,-91.26,4.21,28.86,9.3,NORMAL
2026-06-06 08:31:06,10.763006747827154,106.66153673718948,LTE,201,604,38950,-93.42,1.2,35.97,10.5,NORMAL
2026-06-06 08:31:08,10.763067875072759,106.66162524437348,5G-NR,301,903,6300,-98.1,11.76,31.14,8.41,RSRP_DROP
2026-06-06 08:31:10,10.76302683289026,106.6616464209306,5G-NR,101,304,6300,-103.24,7.99,33.59,6.89,NORMAL
2026-06-06 08:31:12,10.763057276070011,106.66162689109878,LTE,201,605,39250,-83.41,5.92,46.53,14.99,NORMAL
2026-06-06 08:31:14,10.762979292563816,106.66163760794828,5G-NR,102,308,39250,-89.41,12.83,40.95,11.22,NORMAL
2026-06-06 08:31:16,10.76293288326137,106.66169238383554,5G-NR,202,608,38950,-100.32,10.98,35.05,8.18,NORMAL
2026-06-06 08:31:18,10.762962726323165,106.66168856036236,5G-NR,103,310,6300,-100.36,7.74,35.47,4.9,NORMAL
2026-06-06 08:31:20,10.763019649652165,106.66166922713863,LTE,201,604,38950,-92.69,4.88,27.27,8.13,NORMAL
2026-06-06 08:31:22,10.763048218066224,106.66171384837132,5G-NR,201,603,39250,-76.65,13.49,53.9,19.71,NORMAL
2026-06-06 08:31:24,10.763062435652104,106.66175854636559,5G-NR,101,305,6300,-92.08,12.6,38.33,14.82,NORMAL
2026-06-06 08:31:26,10.763067380467325,106.66175812977507,LTE,101,304,6300,-102.03,9.6,23.71,6.2,HANDOVER
2026-06-06 08:31:28,10.763013454367806,106.66175986747673,LTE,201,605,39250,-91.97,17.39,45.26,12.37,NORMAL
2026-06-06 08:31:30,10.762997462157387,106.66180379047297,LTE,102,308,38950,-92.18,5.72,24.71,8.35,NORMAL
2026-06-06 08:31:32,10.76299443021884,106.66174690541249,5G-NR,103,309,38950,-111.58,3.9,12.76,1.83,HANDOVER
2026-06-06 08:31:34,10.76306728633015,106.66169245758603,LTE,101,303,6300,-90.43,7.23,30.65,9.8,NORMAL
2026-06-06 08:31:36,10.763104467244629,106.66167935093274,LTE,102,306,39250,-91.85,9.82,38.42,13.06,HIGH_INTERFERENCE
2026-06-06 08:31:38,10.76303631523686,106.66169654410365,5G-NR,202,606,6300,-84.43,10.97,37.14,13.59,NORMAL
2026-06-06 08:31:40,10.76307251943533,106.66174519855758,LTE,101,305,39250,-75.21,9.04,51.04,15.11,NORMAL
2026-06-06 08:31:42,10.76307326532131,106.6618637199306,LTE,102,306,38950,-80.99,11.41,52.49,15.34,NORMAL
2026-06-06 08:31:44,10.763059419221294,106.661945179508,LTE,102,306,39250,-92.15,4.99,19.8,4.18,NORMAL
2026-06-06 08:31:46,10.763110003035736,106.66196558319619,LTE,103,309,38950,-98.85,15.78,42.45,11.08,NORMAL
2026-06-06 08:31:48,10.763181553011862,106.66199444222372,LTE,103,309,39250,-69.41,9.67,61.11,17.88,HANDOVER
2026-06-06 08:31:50,10.763248117017817,106.66196429046184,5G-NR,202,608,6300,-89.53,14.47,40.03,12.75,NORMAL
2026-06-06 08:31:52,10.763226156141656,106.66199317967367,LTE,102,306,38950,-89.89,11.37,49.51,16.68,NORMAL
2026-06-06 08:31:54,10.763230695522862,106.66200586015535,LTE,301,905,6300,-90.19,11.83,43.68,11.5,RSRP_DROP
2026-06-06 08:31:56,10.763267258694434,106.66205522326896,5G-NR,102,307,6300,-88.42,12.28,40.16,15.03,NORMAL
2026-06-06 08:31:58,10.76333603595079,106.66203558941235,5G-NR,103,311,38950,-91.15,11.79,40.48,11.6,NORMAL
2026-06-06 08:32:00,10.763332077238896,106.6620967502032,5G-NR,301,905,38950,-94.59,12.57,41.98,12.55,HANDOVER
2026-06-06 08:32:02,10.763342794290065,106.66221871453799,5G-NR,101,303,6300,-94.37,15.32,43.86,11.66,NORMAL
2026-06-06 08:32:04,10.763307477541364,106.66224218892907,LTE,101,304,6300,-90.26,10.79,42.66,7.95,NORMAL
2026-06-06 08:32:06,10.76326766721016,106.6622962916324,5G-NR,201,604,6300,-94.35,12.84,35.17,12.32,HANDOVER
2026-06-06 08:32:08,10.76332829350128,106.6623677002719,5G-NR,103,310,6300,-95.7,9.64,34.75,11.9,NORMAL
2026-06-06 08:32:10,10.763416105502708,106.66237362704359,LTE,201,604,38950,-89.15,15.76,41.25,11.81,NORMAL
